response,context,context/0
"Oh, thank you.",Good boy. Heres a cookie.,"If a zombie bites you, you turn into a zombie. However, if a mummy bites you, all you turn into is some schmo with a mummy bite. So, like a zombie, thats been eaten from the waist down, you, sir, have no leg to stand on."
"Im sorry, 294?","Yep. For as long as I can keep my mother out of it. If you want to check it out later, its parked right out front, space 294.",Congratulations. Does it have that new car smell?
Thats my parking spot.,Yeah.,"Im sorry, 294?"
It doesnt matter. Thats my spot.,Why do you have a parking spot? You dont have a car. You dont even drive.,Thats my parking spot.
"Well, Im not using my nipples, either. Maybe they should reassign those.",Maybe they reassigned it because you never use it.,It doesnt matter. Thats my spot.
"I dont want another parking space. I want my parking space. Its perfect. Its a corner spot, cutting the risk of door-dings in half. Its a mere 28 steps from the building entrance. The nearby tree provides shade on hot days and is also home to a delightful squirrel. Which is fortuitous because most squirrels are real jerks.","Sheldon, someday, if you get a car, Im sure theyll give you another parking space.","Well, Im not using my nipples, either. Maybe they should reassign those."
Dont try to change the subject. This is about a parking space. It has nothing to do with cars.,"Fun story. Meanwhile, you still dont have a car.","I dont want another parking space. I want my parking space. Its perfect. Its a corner spot, cutting the risk of door-dings in half. Its a mere 28 steps from the building entrance. The nearby tree provides shade on hot days and is also home to a delightful squirrel. Which is fortuitous because most squirrels are real jerks."
"I always listen to myself. Its one of the great joys of my life. Now, get your car out of my spot.",Are you listening to yourself?,Dont try to change the subject. This is about a parking space. It has nothing to do with cars.
Very well. You leave me no choice.,Nope.,"I always listen to myself. Its one of the great joys of my life. Now, get your car out of my spot."
"What are you looking at, you stupid squirrel?",Very well. You leave me no choice.,Nope.
"President Siebert, listen to reason. Yeah, I understand I dont use the parking spot, but thats not the point. I Yes, Im aware you told me not to call you at home, but you didnt answer the door. And I know you were there, because I saw you through the mail slot. Yeah, well, thats some salty language. May I remind you that youre the president of a major university, not the president of the Potty Mouth Club. There it is again. Do you kiss your mother with that mouth? Oh, well, Im sorry for your loss. Good night, sir. Unbelievable. He says Wolowitz deserves my spot because hes a high-profile asset to the university.","What are you looking at, you stupid squirrel?",Very well. You leave me no choice.
"Yeah, that was five weeks ago. How much longer is he gonna milk that cow?","Well, hes not wrong. Howard did go to the International Space Station.","President Siebert, listen to reason. Yeah, I understand I dont use the parking spot, but thats not the point. I Yes, Im aware you told me not to call you at home, but you didnt answer the door. And I know you were there, because I saw you through the mail slot. Yeah, well, thats some salty language. May I remind you that youre the president of a major university, not the president of the Potty Mouth Club. There it is again. Do you kiss your mother with that mouth? Oh, well, Im sorry for your loss. Good night, sir. Unbelievable. He says Wolowitz deserves my spot because hes a high-profile asset to the university."
"No, no, this is a slippery slope, Leonard. It starts with a parking space, where does it end? Its like my dad always said, first they say you cant drink and drive, next thing you know, you cant let your 10-year-old take the wheel while you sleep one off in the backseat.","Sheldon, let it go. Its not a big deal.","Yeah, that was five weeks ago. How much longer is he gonna milk that cow?"
"Leonard, youre my best friend. Why dont you ever take my side?",All that story does is make me feel bad for your mother.,"No, no, this is a slippery slope, Leonard. It starts with a parking space, where does it end? Its like my dad always said, first they say you cant drink and drive, next thing you know, you cant let your 10-year-old take the wheel while you sleep one off in the backseat."
"Im sorry, but could you be more specific?",Give it back.,Because I can never understand your side.
"Oh, that. Well, see, I wanted it, and you werent using it. Apparently, those are the rules we live by now. Payback, it truly is the B word, isnt it?",My Iron Man helmet. Koothrappali saw you take it. Give it back.,"Im sorry, but could you be more specific?"
"Id love to help you out, but unfortunately , Im using it.","Sheldon, that is a five hundred dollar limited edition collectible, and I want it back.","Oh, that. Well, see, I wanted it, and you werent using it. Apparently, those are the rules we live by now. Payback, it truly is the B word, isnt it?"
Go ahead. Thats the only doctorate youll ever get. It smells funny in here.,Fine. Im taking your diploma.,"Id love to help you out, but unfortunately , Im using it."
Cookie.,Sheldon?,"Okay, heres another one: If a zombie bites a vampire, and the vampire bites a human, does the human become a vampire or a zombie? Or a zompire?"
"Well, Im not giving it away.",I dont have any.,Cookie.
"Hes in my spot. Leonard, make him stop being naked in my spot.",Hi Sheldon.,"Well, Im not giving it away."
Get off there.,He wasnt using it. And I needed a nice cool piece of leather to wiggle my naked ass on.,"Howard, what are you doing?"
Give me back my parking space.,Give me back my Iron Man helmet.,Get off there.
You dont need an Iron Man helmet. Youre not Iron Man.,You dont need a parking space. You dont have a car.,Give me back my parking space.
Keep a lookout. This place is swarming with campus security. They will not hesitate to scold us.,This is so exciting. Im feeling all tingly. Although that could just be my newly defoliated bikini zone.,Mmm.
"Oh, yeah. Okay, now, pull your car into the spot and lets get out of here.",Freaking pigs.,Keep a lookout. This place is swarming with campus security. They will not hesitate to scold us.
"Yes, and be sure and put on the emergency brake. Really makes these things tough to budge.","Wait, Im leaving my car here?","Oh, yeah. Okay, now, pull your car into the spot and lets get out of here."
"All right, colour me intrigued.","Before I park, come in the back seat. I want to show you something I had done today.","Yes, and be sure and put on the emergency brake. Really makes these things tough to budge."
"I think youre high on paint fumes. And boy, thats a lot of Band-Aids.",What do you think?,"All right, colour me intrigued."
"Morning, Professor Stevens. Dont look at that whiteboard. Thats my math, not your math. Keep walking, nosey.",Cause I did it!,How do you know?
"Oh. You said Im not using my space, so Im using it.",What the hell are you doing?,"Morning, Professor Stevens. Dont look at that whiteboard. Thats my math, not your math. Keep walking, nosey."
"No, I dont.","Okay, you need to move now.","Oh. You said Im not using my space, so Im using it."
"Actually, I have a plastic baggy strapped to my leg that says I can. Give up, Wolowitz. Youve chosen to tangle with a superior intellect you cant defeat. There is nothing you could possibly do to",You cant stay there forever.,"No, I dont."
"Oh, yes, they are. I mean, what?","Those arent gonna help you, Sheldon,","Actually, I have a plastic baggy strapped to my leg that says I can. Give up, Wolowitz. Youve chosen to tangle with a superior intellect you cant defeat. There is nothing you could possibly do to"
"Your threats are empty, nothing can move me.  Stop that.","Im warning you, Sheldon!","Oh, yes, they are. I mean, what?"
No. Thats it. I am calling campus security. You prepare for the scolding of your life.,Get out of my spot.,"Your threats are empty, nothing can move me.  Stop that."
"Hes trying to kill me, Leonard. Video games and rock music have desensitized him to violence.",What are you idiots doing?,No. Thats it. I am calling campus security. You prepare for the scolding of your life.
"Oh, preposterous. I have been solely responsible for this universitys six loop quantum gravity calculations, I have changed the way we think about Bose-Einstein condensates, and I am also the one who got Nutter Butters in the cafeteria vending machine. Maybe you missed that news while you were floating around like a goof in outer space. Now, if youll excuse me, I have work to do.",Its not just a parking spot. He cant handle the fact that Im a bigger deal than he is now.,Youre both acting like lunatics. Its just a parking spot.
"Hey, sweet ride.","Oh, like youve never thought of doing that. Dont hate me just because I lived the dream.",What I dont believe is that you tried to run him over.
Just breaking in your new car.,What are you doing in there?,"Hey, sweet ride."
You know what they say? Revenge is a dish best served nude.,Stop that. You stop that.,Just breaking in your new car.
"Oh, of course, come in.  This is an authentic Chinese throwing star, and I must warn you, I have seen many people throw them in movies.","Hey, got a minute?",You know what they say? Revenge is a dish best served nude.
"Well, Howard, thank you. Its quite a gesture on your part. Youve shown yourself to be the bigger man.","I had no idea how much that spot meant to you. Anyway, I called President Siebert and told him its not worth fighting over the spot, so you keep it, and Ill park in the structure across the street.","Howard, thats not how we practiced it."
"Which I find totally unacceptable. I must be the bigger man. Therefore, you may use my spot until such time as I learn to drive or get a Batmobile.",Thank you.,"Well, Howard, thank you. Its quite a gesture on your part. Youve shown yourself to be the bigger man."
There is nothing to say. Except Im the bigger man. Im not kidding. Say it.,"Wow, okay. Well, thanks. I dont know what to say.","Which I find totally unacceptable. I must be the bigger man. Therefore, you may use my spot until such time as I learn to drive or get a Batmobile."
"Oh, stop. And I believe this is yours. FYI, if you wear that into a bank, they will tackle you to the ground.","Youre the bigger man, Sheldon.",Just say it.
To burying the hatchet.,"Id like to propose a toast, to burying the hatchet.","Oh, stop. And I believe this is yours. FYI, if you wear that into a bank, they will tackle you to the ground."
"Yes. According to information I gleaned from Yelp, you had great success when a santeriasuzy37 brought you a pair of leather slacks stained with chicken blood. I believe I may have a similar problem. This cushion experienced a nude revenge wiggle.",Can I help you?,"Yeah, everybodys happy, great."
"A naked man sat on it. Now, heres my concern, his diet is rich in fatty deli meats. What test do you have to detect lipid residue?",A what?,"Yes. According to information I gleaned from Yelp, you had great success when a santeriasuzy37 brought you a pair of leather slacks stained with chicken blood. I believe I may have a similar problem. This cushion experienced a nude revenge wiggle."
"Lipid residue. An anal autograph. A colon calling card, if you will.",Lipid what?,"A naked man sat on it. Now, heres my concern, his diet is rich in fatty deli meats. What test do you have to detect lipid residue?"
Dont rush it. We may be dealing with befoulment on a molecular level.,Tuesday okay?,"Lipid residue. An anal autograph. A colon calling card, if you will."
Is that your son?,Let me write you a ticket.,Dont rush it. We may be dealing with befoulment on a molecular level.
Is anyone else troubled by the Spider-Man theme song?,Uh-huh.,Is that your son?
"It is, right behind do-do-do-do-do Inspector Gadget., and Teenage Mutant Ninja Turtles, heroes in a half-shell.","Why would it trouble you? Its, like, your third favourite cartoon theme song.",Is anyone else troubled by the Spider-Man theme song?
"However, the Spider-Man lyrics posit that Spider-Man, Spider-Man does whatever a spider can.",Turtle power!,"It is, right behind do-do-do-do-do Inspector Gadget., and Teenage Mutant Ninja Turtles, heroes in a half-shell."
"I can think of many things Spider-Man cant do that a spider can. One, crawl in your ear and die. Two, legally leave Guatemala without a passport. Three, have sex with a spider.","Yeah, so?","However, the Spider-Man lyrics posit that Spider-Man, Spider-Man does whatever a spider can."
"You know what I like to do when Im forced to speak with those beneath my intellectual station? I bring up an interesting topic, like the difference between Spider-Man and spiders.",Its torture. Especially with her dad. We have nothing in common.,Fun. We know how much you love that.
"No, you cant use that one. Thats mine. Uh, try this one for an ice-breaker. Uh, despite popular lore, there is no place in the continental United States, Alaska or Hawaii from which one can dig straight through the centre of the earth and come up in China.","Thanks, Sheldon. Ill try that with my father-in-law.","You know what I like to do when Im forced to speak with those beneath my intellectual station? I bring up an interesting topic, like the difference between Spider-Man and spiders."
"Actually, you cant have that one either. Its too good. Sorry.","Great, thank you.","No, you cant use that one. Thats mine. Uh, try this one for an ice-breaker. Uh, despite popular lore, there is no place in the continental United States, Alaska or Hawaii from which one can dig straight through the centre of the earth and come up in China."
"Sadly, yes. Amys taking me to a memorial service. Its for one of her colleagues who is of Asian descent, so my planned conversational gambit is to casually remark that no matter how deep they dig his grave, hell never make his way back to China.","What about you, Sheldon? Do you have any plans tonight?","Actually, you cant have that one either. Its too good. Sorry."
What can I say? I put the fun in funeral.,That should lighten the mood.,"Sadly, yes. Amys taking me to a memorial service. Its for one of her colleagues who is of Asian descent, so my planned conversational gambit is to casually remark that no matter how deep they dig his grave, hell never make his way back to China."
Amy.,What can I say? I put the fun in funeral.,That should lighten the mood.
"Im not allowed to wear my Silver Surfer neck tie, but you can wear a bathrobe?","Hello, Sheldon.",Amy.
"Youre sick? You poor kid. Well, see ya.",I think Im too sick to go to the funeral.,"Im not allowed to wear my Silver Surfer neck tie, but you can wear a bathrobe?"
"Me? No. No, Im not that kind of doctor.","Sheldon, arent you gonna take care of me?","Youre sick? You poor kid. Well, see ya."
"Oh, no, I see the confusion. No, the intent behind that clause was to force you to take care of me when Im ill. When youre feeling better, youll think thats funny.","But our relationship agreement clearly states that when one of us is sick, the other must take care of them.","Me? No. No, Im not that kind of doctor."
"Amy. I made a commitment in writing to comfort you in times like this. Additionally, you are my girlfriend, and I care about your well-being.","Never mind. Good night, Sheldon.","Oh, no, I see the confusion. No, the intent behind that clause was to force you to take care of me when Im ill. When youre feeling better, youll think thats funny."
Youre welcome. Now lets get this over with.,"Thank you, Sheldon.","Amy. I made a commitment in writing to comfort you in times like this. Additionally, you are my girlfriend, and I care about your well-being."
102.2. Exactly what it was half an hour ago. Its like youre not even trying to get better.,Had no idea you were the chatty one.,It was good.
"Well, not with that attitude.","Sheldon, you dont get over the flu in half an hour.",102.2. Exactly what it was half an hour ago. Its like youre not even trying to get better.
"Im sorry. I just want you to get better as soon as possible. And with that goal in mind, let me ask you a question. Do you believe in the placebo effect?","I have to say, Im finding your bedside manner a little lacking.","Well, not with that attitude."
"Great. Now, this may look like a Tic Tac, but it is really a powerful medication specifically designed to cure your illness as well as freshen your breath.",Of course I do. There have been many studies proving its validity.,"Im sorry. I just want you to get better as soon as possible. And with that goal in mind, let me ask you a question. Do you believe in the placebo effect?"
"How can you sleep? Im not done making you feel better. I still have to put a cold rag on your head, sing to you and apply VapoRub to your chest.","Sheldon, this isnt helping. Why dont you just let me get some rest.","Great. Now, this may look like a Tic Tac, but it is really a powerful medication specifically designed to cure your illness as well as freshen your breath."
Yes. All over it.,"You, you want to rub something on my chest?","How can you sleep? Im not done making you feel better. I still have to put a cold rag on your head, sing to you and apply VapoRub to your chest."
"Now youre being a responsible patient. Now, you may notice some tingling.",Maybe we should start with that.,Yes. All over it.
"And the control group displayed significantly fewer genetic abnormalities. But, because of flaws in the experimental design relating to environment and diet, they lived inconclusively ever after. The end.","Thats great. Cheerleading, way to man things up.",You can do it.
"No. I need to get you down for a nap. And for some reason, that VapoRub gets you all fired up.",That was great. Rub my chest again.,"And the control group displayed significantly fewer genetic abnormalities. But, because of flaws in the experimental design relating to environment and diet, they lived inconclusively ever after. The end."
"Oh, Im hanging in there. Thanks for asking.",Hows the poor thing?,"No. I need to get you down for a nap. And for some reason, that VapoRub gets you all fired up."
"Uh, Im going to draw you a soothing bath. Wheres your bath thermometer?","Okay, Amy, I brought you some drugs we were working on in the lab. This is proving really good for congestion, but theres a slight chance it can make your tears burn like acid, so if you take it, happy thoughts.","Oh, Im hanging in there. Thanks for asking."
Fine. Then Im going to draw you a nerve-wracking bath of indeterminate temperature.,I dont have a bath thermometer.,"Uh, Im going to draw you a soothing bath. Wheres your bath thermometer?"
"Amy, would you be strong enough to bathe yourself, or do you need my help?",All right. Ill tell him.,"I dont mean to be judgy, but this is the kind of thing lunatics do."
"Im surprised to hear that. See, the other day, I was concerned that you werent recovering, so while you were sleeping, I took a cheek swab and had it cultured in the lab.","Oh, Sheldon, am I glad youre back. Taking a turn for the worst. I think Im going to need another bath.","Oh, look, its a female. You can see all the eggs."
"I got the results back. Have you developed any of the following symptoms? A growing nose, or perhaps a warm sensation in the trouser region? Also known as full-blown liar, liar, pants on fire.",Oh?,"Im surprised to hear that. See, the other day, I was concerned that you werent recovering, so while you were sleeping, I took a cheek swab and had it cultured in the lab."
"It hurts that you would lie to me, Amy. I thought our relationship was based on trust and a mutual admiration that skews in my favour.","All right, all right. But I really was sick at the beginning. Its just been so nice having you take care of me.","I got the results back. Have you developed any of the following symptoms? A growing nose, or perhaps a warm sensation in the trouser region? Also known as full-blown liar, liar, pants on fire."
"It pains me to say it, but I think some form of penalty is in order, so as to discourage this type of behaviour in the future.",I feel terrible I did this.,"It hurts that you would lie to me, Amy. I thought our relationship was based on trust and a mutual admiration that skews in my favour."
"In a perfect world, Id lock you in a stockade in the public square. That probably requires a permit.",I suppose thats fair. What do you suggest?,"It pains me to say it, but I think some form of penalty is in order, so as to discourage this type of behaviour in the future."
"Oh, that seems overly harsh. I mean, you gave in to a human weakness, you didnt kill a man. You know, its a tad old-school, but my father was not one to spare the rod when my brother would sneak into his truck and drink his driving whiskey.",I could not be allowed to go to the opening of the next Star Trek movie.,"In a perfect world, Id lock you in a stockade in the public square. That probably requires a permit."
I dont want to. But it looks like you left me no choice.,Are you saying you want to spank me?,"Oh, that seems overly harsh. I mean, you gave in to a human weakness, you didnt kill a man. You know, its a tad old-school, but my father was not one to spare the rod when my brother would sneak into his truck and drink his driving whiskey."
Are you prepared to receive your punishment?,I wouldnt go that far.,Great couple of gals.
Why?,One second. I want to put on some music.,Are you prepared to receive your punishment?
"Very well, then. Get over my knee. Lets begin.",I dont want to disturb the people next door while you discipline me.,Why?
Excuse me. Youre not supposed to be enjoying this.,"Oh, my.","Very well, then. Get over my knee. Lets begin."
Maybe I will.,Then maybe you should spank me harder.,Excuse me. Youre not supposed to be enjoying this.
"Yeah, oh, Im sorry. I shouldve mentioned this earlier. Youre not invited.","Oh, great! Ive always wanted to play Dungeons and Dragons.","Little bit, yeah."
"Amy, from time to time, we men need to break free from the shackles of civility and get in touch with our primal animalistic selves.",Why not?,"Yeah, oh, Im sorry. I shouldve mentioned this earlier. Youre not invited."
"Yeah, like a bunch of savages.",By rolling dice and playing make-believe with little figurines?,"Amy, from time to time, we men need to break free from the shackles of civility and get in touch with our primal animalistic selves."
A Christmas gift? You know I dont enjoy Christmas.,"All right, Sheldon, to start our quest you need to open this little Christmas gift I got you.",Saturday night just went from crazy to epic. Woo-hoo!
"Oh, where to begin? Trees indoors. Overuse of the words tis and twas. And the absurd custom of one stocking. Everyone knows socks belong in pairs. Who uses one sock?",Whats wrong with Christmas?,A Christmas gift? You know I dont enjoy Christmas.
"Actually that helps, thank you.",Pirate with a peg leg?,"Oh, where to begin? Trees indoors. Overuse of the words tis and twas. And the absurd custom of one stocking. Everyone knows socks belong in pairs. Who uses one sock?"
"Oh, a scroll. I like scrolls. Theyre my third favourite system of transmitting the written word. After stone tablets and skywriting. You have all been summoned to join a thrilling Dungeons and Dragons adventure. Your quest begins in a secret northern village of elves who have all been massacred. I like where this is heading. Your task is to rescue their leader from a dungeon of ogres. Oh, thats a saucy twist. That leaders name, Santa Claus. No, no, no.",Would you just look inside?,"Actually that helps, thank you."
"Fun? Mixing Dungeons and Dragons with Christmas is like making a sandwich of grape jelly, the best-tasting jelly, and petroleum jelly, the worst-tasting jelly.","Its actually ho, ho, ho, but youll get the hang of it. Thought itd be fun to make a quest with a holiday theme.","Oh, a scroll. I like scrolls. Theyre my third favourite system of transmitting the written word. After stone tablets and skywriting. You have all been summoned to join a thrilling Dungeons and Dragons adventure. Your quest begins in a secret northern village of elves who have all been massacred. I like where this is heading. Your task is to rescue their leader from a dungeon of ogres. Oh, thats a saucy twist. That leaders name, Santa Claus. No, no, no."
I signal my contempt for your cruel plan to shove Christmas joy down my throat by making a gesture that says get a load of this guy.,"Okay, there are ogre tracks and a trail of broken candy canes in the snow. Sheldon, what do you do?",Do you hear yourself when you say these things?
Lucky.,"But, a cannon? Am I really out of the game?","Okay, you run into a room full of weapons, hit a trip wire, a cannon blows your face off, you die, youre out of the game."
"I know theyre making a rhetorical point, I just dont know what it is.","Hey, guys. I dont mean to interrupt your little game, but I thought youd like to see what youre missing out on. So, Bernadette? Bernadettes wearing leopard-print pumps and a rack-tastic red dress from Forever 21. And theres Amy, showing all kinds of ankle. In an outfit Im assuming is from Forever 63. And I, myself am wearing a little number that got me out of two speeding tickets and jury duty.","Okay, you need to say these things in your head before you say them out loud."
I open the chest.,"I walk up to the large chest, bury my face in it and go blublublublublublublublu",Great. What do you do?
"Wait, Svaty Vaclav was the Duke of Bohemia.","Oh, boy, happy place, happy place.",Walls are getting closer.
"Wait, wait. Svaty Vaclav is better known as Good King Wenceslas from the beloved Victorian Christmas carol.","Seven, six.",What are we supposed to do?
"Good King Wenceslas looked out, on the feast of Stephen. When the snow lay round about, deep and crisp and even",Somebody sing the damn song.,"Three, two."
"Brightly shone the moon that night, though the frost was cruel. When a poor man came in sight gathering winter fuel.",The walls are getting slower.,"Good King Wenceslas looked out, on the feast of Stephen. When the snow lay round about, deep and crisp and even"
"It was simple. I combined a well-known historical fact about Bohemia with the memory of my grandparents, Mee-Maw and Pop-Pop, singing Christmas carols while I sat in front of the fire and tried to build a high-energy particle accelerator out of Legos.",How did you know that?,"That was amazing, Sheldon."
"W-W-Wait. Theres still four more verses. You dont sing a song and not finish it. Hither, page, and stand by me, if thou knowst it, telling. Yonder peasant, who is he? Where and what his dwelling? Brightly shone the moon that night, though the frost","Okay, continuing our quest.","It was simple. I combined a well-known historical fact about Bohemia with the memory of my grandparents, Mee-Maw and Pop-Pop, singing Christmas carols while I sat in front of the fire and tried to build a high-energy particle accelerator out of Legos."
"Ye who now will bless the poor, shall yourselves find blessing. Ba-da-bum.","Nope. I guess the heart wants what the heart wants. Or in this case, doesnt, I mean, at all. What?",Think harder.
I think the word youre looking for is bravo.,Done?,"Ye who now will bless the poor, shall yourselves find blessing. Ba-da-bum."
Melted snowmen? Are there carrots and lumps of coal in the water?,"Okay, you leave the room and find yourself standing before a pool of melted snowmen.",I think the word youre looking for is bravo.
"Well its a game of the imagination, Leonard. Paint a picture.",I dont know. Whats the difference?,Melted snowmen? Are there carrots and lumps of coal in the water?
What happened to the top hats and the corncob pipes?,Fine. You leave the room and find yourself standing before a pool of melted snowmen. There are carrots and lumps of coal in the water.,"Well its a game of the imagination, Leonard. Paint a picture."
"Oh, its like Im really there.","You see those, too.",What happened to the top hats and the corncob pipes?
"Yes. What, is there a problem?",What are you drinking there? A little eggnog?,Good story.
Since when is eggnog a Christmas drink? Eggs are available all year round. Ive been known to enjoy this poolside.,"No, its nice to see you enjoying a holiday beverage. Pretty Christmassy.","Yes. What, is there a problem?"
"Oh, dont be silly. Christmas is a bunch of baloney created by the tinsel industry. Why is this so important to you?","Come on, Sheldon. You know all the Christmas stories, and the carols, youve got an eggnog moustache going on there. Just admit it. Youre getting a little Yuletide spirit.",Since when is eggnog a Christmas drink? Eggs are available all year round. Ive been known to enjoy this poolside.
No wonder you love Christmas. That sounds amazing.,"I grew up in a house full of crazy academics. Instead of leaving Santa milk and cookies, we had to leave him a research paper. And in the morning, you could tell hed been there because the paper would be graded.",What was so bad about them?
"Yeah, Im familiar with your work. C-minus was your gift.",It wasnt amazing. I got a C-minus four years in a row.,No wonder you love Christmas. That sounds amazing.
All right. I think I cracked the code to lower the drawbridge.,"Now that I know she doesnt like me, Im kind of into her.",What?
Play through the pain.,My carpal tunnels acting up.,The drawbridge is lowering.
"But first, I cast a spell of paralysis on Stuart and Howard.",I take out my skeleton key and run to Santa to unchain him.,"Yes, we found Santa. Christmas is saved. Dont ever tell my mother I said that."
"You cant talk, youre paralyzed. I get right up in Santas big, fat face and say, well, well, well, jolly old Saint Nick, we meet again. Yeah, I believe the last time we spoke was in the Baybrook Mall in Galveston, Texas, when I was five years old, isnt that right?","Wait, what are you doing?","But first, I cast a spell of paralysis on Stuart and Howard."
"My mother dragged me there and she plopped me down on your lap and you asked me what I wanted for Christmas. And I told you, my Pop-Pop, because that was the year my grandfather died. I missed him and I wanted him back.","Uh, okay.","You cant talk, youre paralyzed. I get right up in Santas big, fat face and say, well, well, well, jolly old Saint Nick, we meet again. Yeah, I believe the last time we spoke was in the Baybrook Mall in Galveston, Texas, when I was five years old, isnt that right?"
"Pop-Pop was the only one in my family who encouraged me to pursue science. But you didnt bring him back, did you? No, instead, I got Lincoln Logs. Well, you can build a lot of neat things out of Lincoln Logs, but Pop-Pop aint one of em. And now youre here asking me for something, to save you. Well, sorry, Mr. Kringle, but todays not your day. Im leaving you here to rot, and I hope the ogres feast on your bones. I take the skeleton key, and I toss it into the chasm, and on the way out, I give Santa a swift kick in his bowl full of jelly!","This is weird, right?","My mother dragged me there and she plopped me down on your lap and you asked me what I wanted for Christmas. And I told you, my Pop-Pop, because that was the year my grandfather died. I missed him and I wanted him back."
Santa?,"Okay. So Wolowitz and Stuart are paralyzed, Santas dead, and I picked this over having sex with my girlfriend.","Pop-Pop was the only one in my family who encouraged me to pursue science. But you didnt bring him back, did you? No, instead, I got Lincoln Logs. Well, you can build a lot of neat things out of Lincoln Logs, but Pop-Pop aint one of em. And now youre here asking me for something, to save you. Well, sorry, Mr. Kringle, but todays not your day. Im leaving you here to rot, and I hope the ogres feast on your bones. I take the skeleton key, and I toss it into the chasm, and on the way out, I give Santa a swift kick in his bowl full of jelly!"
"Well, then, you shouldnt have jingle bells on your boots.","Oh, hello, Sheldon. You should be asleep.",Santa?
I understand.,"Oh. Ive been wanting to talk to you. Im sorry I disappointed you when you were a little boy. I can do a lot of magical things, but unfortunately bringing your Pop-Pop back isnt one of them.","Well, then, you shouldnt have jingle bells on your boots."
"Oh, I hope its a train.",But I do have something special for you. Close your eyes.,I understand.
Two trains?,"Oh, its better than a train.","Oh, I hope its a train."
Im getting three trains.,Better.,Two trains?
"Wait, uh, uh, hang on. In my defense","Okay, open em.  This is for leaving me in the dungeon to be eaten alive by ogres!",Im getting three trains.
"Well, I must say, Leonard, when I first heard your idea for Giant Jenga, I was sceptical.","Wait, uh, uh, hang on. In my defense","Okay, open em.  This is for leaving me in the dungeon to be eaten alive by ogres!"
"No, I was wrong. The looming threat of being crushed under a pile of lumber does add a certain spice. Ive never felt so alive.  Oh, hello, Alex. Uh, let me go get you last nights recordings.",I cant blame you. Tiny Twister was a complete bust.,"Well, I must say, Leonard, when I first heard your idea for Giant Jenga, I was sceptical."
"Well, you remember when you told me I talk in my sleep? Well, it occurred to me that, like most things I say, its probably pure gold. So I started recording it all, and now Alex gets to comb through eight hours of what I like to call Sheldon After Dark.",What recordings?,"No, I was wrong. The looming threat of being crushed under a pile of lumber does add a certain spice. Ive never felt so alive.  Oh, hello, Alex. Uh, let me go get you last nights recordings."
"Jenga, I win!",What?,"Yeah, okay. Well, if you want to hear about the lecture, I can tell you all about it at work, or, you know, over dinner sometime."
"Ah, gentlemen, what is on the conversational menu this morning?",I both hate you and want to be you. This is Ryan Gosling all over again.,"To my bones. I mean, Im not gonna do anything about it. I love Penny. Its just nice to have a young, attractive woman sniffing around the goods."
"Well, thats not acceptable. I mean, Im her boss. She needs to be solely focused on my needs, not distracted by your pasty, androgynous brand of sexuality.",Your assistant is totally hitting on this jerk and he loves it.,I didnt steal anyone.
"Oh, please. Look at you with your pouty bee-stung lips.",Im androgynous?,"Well, thats not acceptable. I mean, Im her boss. She needs to be solely focused on my needs, not distracted by your pasty, androgynous brand of sexuality."
"I want to thank you all for coming on such short notice. Uh, in the past, Ive reached out to each of you individually, but I believe my present situation requires the collective wisdom of the group, which as you can see from your commemorative T-shirts I have dubbed Sheldon Coopers Council of Ladies.","I say you tell Alex your heart belongs to Penny, I provide her a shoulder to cry on, and then roughly half a year later I give it to her good.",What do you guys think I should do?
"I need your advice about a delicate workplace situation. Uh, to protect those involved, Ill be changing their names.",What is happening?,"I want to thank you all for coming on such short notice. Uh, in the past, Ive reached out to each of you individually, but I believe my present situation requires the collective wisdom of the group, which as you can see from your commemorative T-shirts I have dubbed Sheldon Coopers Council of Ladies."
"Well, a short, bespectacled colleague of mine who lives in the shadow of his brilliant roommate. Lets call this colleague Ricardo Shilly-Shally.",Whos involved?,"I need your advice about a delicate workplace situation. Uh, to protect those involved, Ill be changing their names."
"No, no, Shilly-Shally has red hair and, uh, he briefly served in the Mexican Navy. Anyway, despite the fact that he has a girlfriend, Shilly-Shally has been the recipient of inappropriate workplace flirtations from a young lady.",Youre talking about Leonard.,"Well, a short, bespectacled colleague of mine who lives in the shadow of his brilliant roommate. Lets call this colleague Ricardo Shilly-Shally."
No. No. No. This is Tondelaya della Ventimiglia.,"Its your assistant Alex, isnt it?","No, no, Shilly-Shally has red hair and, uh, he briefly served in the Mexican Navy. Anyway, despite the fact that he has a girlfriend, Shilly-Shally has been the recipient of inappropriate workplace flirtations from a young lady."
"No, uh, no, Im sorry. Whos talking about Leonard and Alex?","Wait, what the hells going on with Leonard and Alex?",No. No. No. This is Tondelaya della Ventimiglia.
"Okay, look, its not really about Ricardo and Tondelaya. It is really about her boss, who doesnt quite know how to handle this situation and could use your advice, which is surprising because Dr. Einstein Von Brainstorm, hes usually pretty smart about these things.",Fine. Ricardo and Tondelaya.,"No, uh, no, Im sorry. Whos talking about Leonard and Alex?"
"Ladies, ladies, please. Were not here to talk about Penny, okay? Were here to talk about me. Uh, I mean Einstein Von Brainstorm. Oh, darn it! All right, I guess the cats out of the bag. Let me explain whats going on. Ricardo is really Leonard.","Shes right. But say the word, I got a lab full of cocaine-addicted monkeys with nothing to lose. One of them could end up in the backseat of her car. Or her shower.",Im sure youve got nothing to worry about. Leonard would never cheat on you.
